product_code,product_name,product_type
PRD001,USB-C Charging Cable,Own Brand
PRD002,Wireless Mouse,Own Brand
PRD003,Bluetooth Speaker,Distribution
PRD004,LED Desk Lamp,Own Brand
PRD005,Phone Screen Protector,Distribution
PRD006,Laptop Stand,Own Brand
PRD007,Portable Power Bank,Distribution
PRD008,HDMI Cable 6ft,Own Brand
PRD009,Webcam HD 1080p,Distribution
PRD010,Keyboard Wrist Rest,Own Brand
PRD011,Ethernet Adapter,Own Brand
PRD012,Wireless Earbuds,Distribution
PRD013,Monitor Riser,Own Brand
PRD014,USB Hub 4-Port,Own Brand
PRD015,Smart Plug,Distribution
PRD016,Cable Management Kit,Own Brand
PRD017,Noise Cancelling Headphones,Distribution
PRD018,Surge Protector,Own Brand
PRD019,Tablet Stand,Distribution
PRD020,External SSD 500GB,Distribution
