customer_code,customer_name,customer_type
CUS001,Atlas Stores,Brick & Mortar
CUS002,Beacon Trading Co.,Brick & Mortar
CUS003,Crest Mart,E-Commerce
CUS004,Delta Solutions,Brick & Mortar
CUS005,Eagle Distributors,Brick & Mortar
CUS006,Frontier Stores,Brick & Mortar
CUS007,Global Solutions,Brick & Mortar
CUS008,Harbor Solutions,Brick & Mortar
CUS009,Infinity Solutions,Brick & Mortar
CUS010,Jade Enterprises,Brick & Mortar
CUS011,Keystone Electronics,E-Commerce
CUS012,Liberty Mart,E-Commerce
CUS013,Metro Supplies,Brick & Mortar
CUS014,Noble Retail,E-Commerce
CUS015,Omega Supplies,Brick & Mortar
CUS016,Pioneer Distributors,Brick & Mortar
CUS017,Quest Supplies,Brick & Mortar
CUS018,Ridge Electronics,E-Commerce
CUS019,Summit Solutions,Brick & Mortar
CUS020,Titan Distributors,Brick & Mortar
CUS021,Unity Trading Co.,E-Commerce
CUS022,Valor Market,E-Commerce
CUS023,Western Supplies,Brick & Mortar
CUS024,Apex Stores,Brick & Mortar
CUS025,Bright Retail,E-Commerce
CUS026,Crown Stores,E-Commerce
CUS027,Drake Stores,Brick & Mortar
CUS028,Elite Enterprises,Brick & Mortar
CUS029,Falcon Supplies,Brick & Mortar
CUS030,Grand Supplies,Brick & Mortar
CUS031,Horizon Trading Co.,E-Commerce
CUS032,Icon Stores,Brick & Mortar
CUS033,Jupiter Mart,Brick & Mortar
CUS034,Kingsway Retail,Brick & Mortar
CUS035,Landmark Distributors,Brick & Mortar
CUS036,Maple Solutions,Brick & Mortar
CUS037,Nexus Supplies,E-Commerce
CUS038,Orbit Electronics,Brick & Mortar
CUS039,Prime Electronics,E-Commerce
CUS040,Royal Distributors,Brick & Mortar
CUS041,Silver Retail,E-Commerce
CUS042,Terra Market,E-Commerce
CUS043,Urban Supplies,Brick & Mortar
CUS044,Vista Enterprises,Brick & Mortar
CUS045,Zenith Enterprises,Brick & Mortar
CUS046,Ace Mart,Brick & Mortar
CUS047,Bold Solutions,Brick & Mortar
CUS048,Core Market,Brick & Mortar
CUS049,Dune Market,Brick & Mortar
CUS050,Echo Retail,E-Commerce
