transaction_id,date,customer_code,product_code,market_code,quantity,sales_amount,cost_price,profit
TXN00663,2019-01-01,CUS031,PRD016,MKT010,14,228.62,102.88,125.74
TXN02502,2019-01-01,CUS009,PRD008,MKT005,4,36.76,16.54,20.22
TXN03215,2019-01-01,CUS025,PRD001,MKT007,2,26.66,12.0,14.66
TXN03905,2019-01-01,CUS008,PRD017,MKT003,1,98.32,63.91,34.41
TXN04114,2019-01-01,CUS002,PRD013,MKT002,4,220.68,99.31,121.37
TXN01366,2019-01-02,CUS002,PRD019,MKT002,6,211.38,137.4,73.98
TXN02095,2019-01-02,CUS022,PRD005,MKT001,7,57.68,37.49,20.19
TXN03994,2019-01-02,CUS004,PRD016,MKT002,7,110.18,49.58,60.6
TXN01365,2019-01-03,CUS030,PRD020,MKT005,14,1072.4,697.06,375.34
TXN01521,2019-01-04,CUS003,PRD016,MKT003,9,157.68,70.96,86.72
TXN02513,2019-01-04,CUS049,PRD001,MKT004,9,118.26,53.22,65.04
TXN03194,2019-01-04,CUS030,PRD011,MKT001,14,223.16,100.42,122.74
TXN04980,2019-01-04,CUS016,PRD018,MKT003,7,194.67,87.6,107.07
TXN01373,2019-01-05,CUS020,PRD001,MKT001,4,51.04,22.97,28.07
TXN01616,2019-01-05,CUS026,PRD012,MKT002,7,303.94,197.56,106.38
TXN02662,2019-01-05,CUS015,PRD001,MKT002,8,107.6,48.42,59.18
TXN02918,2019-01-05,CUS012,PRD003,MKT006,4,187.2,121.68,65.52
TXN00140,2019-01-06,CUS009,PRD006,MKT005,15,673.5,303.07,370.43
TXN00642,2019-01-06,CUS001,PRD002,MKT001,13,335.79,151.11,184.68
TXN03214,2019-01-06,CUS032,PRD003,MKT008,8,399.68,259.79,139.89
TXN01532,2019-01-07,CUS014,PRD014,MKT007,3,62.43,28.09,34.34
TXN01995,2019-01-07,CUS014,PRD010,MKT005,16,299.2,134.64,164.56
TXN02071,2019-01-07,CUS009,PRD012,MKT001,10,405.4,263.51,141.89
TXN02757,2019-01-07,CUS005,PRD001,MKT007,17,223.21,100.44,122.77
TXN02840,2019-01-07,CUS035,PRD014,MKT003,14,340.62,153.28,187.34
TXN03064,2019-01-07,CUS010,PRD014,MKT006,7,170.1,76.55,93.55
TXN03357,2019-01-07,CUS004,PRD019,MKT006,1,35.79,23.26,12.53
TXN03931,2019-01-07,CUS020,PRD005,MKT008,14,135.52,88.09,47.43
TXN02384,2019-01-08,CUS018,PRD017,MKT007,2,192.84,125.35,67.49
TXN04370,2019-01-08,CUS044,PRD020,MKT003,12,856.56,556.76,299.8
TXN04853,2019-01-08,CUS001,PRD012,MKT001,14,574.84,373.65,201.19
TXN01258,2019-01-09,CUS017,PRD012,MKT003,2,75.92,49.35,26.57
TXN01763,2019-01-09,CUS036,PRD009,MKT001,3,190.44,123.79,66.65
TXN04026,2019-01-09,CUS003,PRD014,MKT002,1,22.75,10.24,12.51
